Loss : tensor(0.7647, grad_fn=<AddBackward0>)
Loss : tensor(0.8029, grad_fn=<AddBackward0>)
Loss : tensor(0.7134, grad_fn=<AddBackward0>)
Loss : tensor(0.7031, grad_fn=<AddBackward0>)
Loss : tensor(0.6980, grad_fn=<AddBackward0>)
Loss : tensor(0.6933, grad_fn=<AddBackward0>)
Loss : tensor(0.7015, grad_fn=<AddBackward0>)
Loss : tensor(0.6984, grad_fn=<AddBackward0>)
Loss : tensor(0.6906, grad_fn=<AddBackward0>)
Loss : tensor(0.6973, grad_fn=<AddBackward0>)
Loss : tensor(0.7010, grad_fn=<AddBackward0>)
Loss : tensor(0.6865, grad_fn=<AddBackward0>)
Loss : tensor(0.6925, grad_fn=<AddBackward0>)
Loss : tensor(0.6942, grad_fn=<AddBackward0>)
Loss : tensor(0.6983, grad_fn=<AddBackward0>)
Loss : tensor(0.6883, grad_fn=<AddBackward0>)
Loss : tensor(0.6916, grad_fn=<AddBackward0>)
Loss : tensor(0.6847, grad_fn=<AddBackward0>)
Loss : tensor(0.6827, grad_fn=<AddBackward0>)
Loss : tensor(0.6933, grad_fn=<AddBackward0>)
Loss : tensor(0.6922, grad_fn=<AddBackward0>)
Loss : tensor(0.6968, grad_fn=<AddBackward0>)
Loss : tensor(0.6990, grad_fn=<AddBackward0>)
Loss : tensor(0.6814, grad_fn=<AddBackward0>)
Loss : tensor(0.6674, grad_fn=<AddBackward0>)
Loss : tensor(0.6504, grad_fn=<AddBackward0>)
Loss : tensor(0.6911, grad_fn=<AddBackward0>)
Loss : tensor(0.6946, grad_fn=<AddBackward0>)
Loss : tensor(0.6227, grad_fn=<AddBackward0>)
Loss : tensor(0.6636, grad_fn=<AddBackward0>)
Loss : tensor(0.7529, grad_fn=<AddBackward0>)
Loss : tensor(0.6940, grad_fn=<AddBackward0>)
Loss : tensor(0.6861, grad_fn=<AddBackward0>)
Loss : tensor(0.6320, grad_fn=<AddBackward0>)
Loss : tensor(0.7934, grad_fn=<AddBackward0>)
Loss : tensor(0.6819, grad_fn=<AddBackward0>)
Loss : tensor(0.6862, grad_fn=<AddBackward0>)
Loss : tensor(0.6690, grad_fn=<AddBackward0>)
Loss : tensor(0.5742, grad_fn=<AddBackward0>)
Loss : tensor(0.7536, grad_fn=<AddBackward0>)
Loss : tensor(0.6962, grad_fn=<AddBackward0>)
Loss : tensor(0.6159, grad_fn=<AddBackward0>)
Loss : tensor(0.6252, grad_fn=<AddBackward0>)
Loss : tensor(0.6421, grad_fn=<AddBackward0>)
Loss : tensor(0.6086, grad_fn=<AddBackward0>)
Loss : tensor(0.6405, grad_fn=<AddBackward0>)
Loss : tensor(0.6496, grad_fn=<AddBackward0>)
Loss : tensor(0.6269, grad_fn=<AddBackward0>)
Loss : tensor(0.6911, grad_fn=<AddBackward0>)
Loss : tensor(0.6714, grad_fn=<AddBackward0>)
Loss : tensor(0.6274, grad_fn=<AddBackward0>)
Loss : tensor(0.6913, grad_fn=<AddBackward0>)
Loss : tensor(0.6825, grad_fn=<AddBackward0>)
Loss : tensor(0.6422, grad_fn=<AddBackward0>)
Loss : tensor(0.6438, grad_fn=<AddBackward0>)
Loss : tensor(0.6706, grad_fn=<AddBackward0>)
Loss : tensor(0.7048, grad_fn=<AddBackward0>)
Loss : tensor(0.6481, grad_fn=<AddBackward0>)
Loss : tensor(0.5906, grad_fn=<AddBackward0>)
Loss : tensor(0.5744, grad_fn=<AddBackward0>)
Loss : tensor(0.6940, grad_fn=<AddBackward0>)
Loss : tensor(0.5930, grad_fn=<AddBackward0>)
Loss : tensor(0.6632, grad_fn=<AddBackward0>)
Loss : tensor(0.6288, grad_fn=<AddBackward0>)
Loss : tensor(0.6282, grad_fn=<AddBackward0>)
Loss : tensor(0.6494, grad_fn=<AddBackward0>)
Loss : tensor(0.6951, grad_fn=<AddBackward0>)
Loss : tensor(0.5731, grad_fn=<AddBackward0>)
Loss : tensor(0.5937, grad_fn=<AddBackward0>)
Loss : tensor(0.6090, grad_fn=<AddBackward0>)
Loss : tensor(0.6404, grad_fn=<AddBackward0>)
Loss : tensor(0.5751, grad_fn=<AddBackward0>)
Loss : tensor(0.5317, grad_fn=<AddBackward0>)
Loss : tensor(0.5927, grad_fn=<AddBackward0>)
Loss : tensor(0.6912, grad_fn=<AddBackward0>)
Loss : tensor(0.5855, grad_fn=<AddBackward0>)
Loss : tensor(0.6216, grad_fn=<AddBackward0>)
Loss : tensor(0.5666, grad_fn=<AddBackward0>)
Loss : tensor(0.5832, grad_fn=<AddBackward0>)
Loss : tensor(0.5674, grad_fn=<AddBackward0>)
Loss : tensor(0.6009, grad_fn=<AddBackward0>)
Loss : tensor(0.6436, grad_fn=<AddBackward0>)
Loss : tensor(0.5885, grad_fn=<AddBackward0>)
Loss : tensor(0.5611, grad_fn=<AddBackward0>)
Loss : tensor(0.6199, grad_fn=<AddBackward0>)
Loss : tensor(0.5253, grad_fn=<AddBackward0>)
Loss : tensor(0.6017, grad_fn=<AddBackward0>)
Loss : tensor(0.6402, grad_fn=<AddBackward0>)
Loss : tensor(0.6491, grad_fn=<AddBackward0>)
Loss : tensor(0.5537, grad_fn=<AddBackward0>)
Loss : tensor(0.5945, grad_fn=<AddBackward0>)
Loss : tensor(0.5384, grad_fn=<AddBackward0>)
Loss : tensor(0.5390, grad_fn=<AddBackward0>)
Loss : tensor(0.6228, grad_fn=<AddBackward0>)
Loss : tensor(0.5395, grad_fn=<AddBackward0>)
Loss : tensor(0.6483, grad_fn=<AddBackward0>)
Loss : tensor(0.5615, grad_fn=<AddBackward0>)
Loss : tensor(0.5342, grad_fn=<AddBackward0>)
Loss : tensor(0.5185, grad_fn=<AddBackward0>)
Loss : tensor(0.5225, grad_fn=<AddBackward0>)
Loss : tensor(0.5620, grad_fn=<AddBackward0>)
Loss : tensor(0.5799, grad_fn=<AddBackward0>)
Loss : tensor(0.5428, grad_fn=<AddBackward0>)
Loss : tensor(0.5995, grad_fn=<AddBackward0>)
Loss : tensor(0.5758, grad_fn=<AddBackward0>)
Loss : tensor(0.6168, grad_fn=<AddBackward0>)
Loss : tensor(0.5268, grad_fn=<AddBackward0>)
Loss : tensor(0.5617, grad_fn=<AddBackward0>)
Loss : tensor(0.5665, grad_fn=<AddBackward0>)
Loss : tensor(0.5642, grad_fn=<AddBackward0>)
Loss : tensor(0.5456, grad_fn=<AddBackward0>)
Loss : tensor(0.4929, grad_fn=<AddBackward0>)
Loss : tensor(0.6171, grad_fn=<AddBackward0>)
